ACEH,128000.000000,1997
SUMATERA UTARA,151000.000000,1997
SUMATERA BARAT,119000.000000,1997
RIAU,151500.000000,1997
JAMBI,119500.000000,1997
SUMATERA SELATAN,127500.000000,1997
BENGKULU,127500.000000,1997
LAMPUNG,126000.000000,1997
KEP. RIAU,235000.000000,1997
DKI JAKARTA,172500.000000,1997
JAWA BARAT,172500.000000,1997
JAWA TENGAH,113000.000000,1997
DI YOGYAKARTA,106500.000000,1997
JAWA TIMUR,132500.000000,1997
BALI,141500.000000,1997
NUSA TENGGARA BARAT,108000.000000,1997
NUSA TENGGARA TIMUR,106000.000000,1997
KALIMANTAN BARAT,126500.000000,1997
KALIMANTAN TENGAH,138000.000000,1997
KALIMANTAN SELATAN,125000.000000,1997
KALIMANTAN TIMUR,153000.000000,1997
SULAWESI UTARA,118000.000000,1997
SULAWESI TENGAH,106500.000000,1997
SULAWESI SELATAN,112500.000000,1997
SULAWESI TENGGARA,121000.000000,1997
MALUKU,136000.000000,1997
PAPUA,170000.000000,1997
INDONESIA,135000.000000,1997
ACEH,147000.000000,1998
SUMATERA UTARA,174000.000000,1998
SUMATERA BARAT,137000.000000,1998
RIAU,174000.000000,1998
JAMBI,137500.000000,1998
SUMATERA SELATAN,146500.000000,1998
BENGKULU,146500.000000,1998
LAMPUNG,145000.000000,1998
KEP. BANGKA BELITUNG,146500.000000,1998
KEP. RIAU,174000.000000,1998
DKI JAKARTA,198500.000000,1998
JAWA BARAT,176800.000000,1998
JAWA TENGAH,130000.000000,1998
DI YOGYAKARTA,122500.000000,1998
JAWA TIMUR,143000.000000,1998
BANTEN,176800.000000,1998
BALI,162500.000000,1998
NUSA TENGGARA BARAT,124000.000000,1998
NUSA TENGGARA TIMUR,122500.000000,1998
KALIMANTAN BARAT,145500.000000,1998
KALIMANTAN TENGAH,158500.000000,1998
KALIMANTAN SELATAN,144000.000000,1998
KALIMANTAN TIMUR,176000.000000,1998
SULAWESI UTARA,135500.000000,1998
SULAWESI TENGAH,122500.000000,1998
SULAWESI SELATAN,129500.000000,1998
SULAWESI TENGGARA,139000.000000,1998
GORONTALO,135500.000000,1998
MALUKU,156500.000000,1998
MALUKU UTARA,156500.000000,1998
PAPUA,195500.000000,1998
INDONESIA,150900.000000,1998
ACEH,171000.000000,1999
SUMATERA UTARA,210000.000000,1999
SUMATERA BARAT,160000.000000,1999
RIAU,218000.000000,1999
JAMBI,150000.000000,1999
SUMATERA SELATAN,170000.000000,1999
BENGKULU,150000.000000,1999
LAMPUNG,160000.000000,1999
KEP. BANGKA BELITUNG,170000.000000,1999
KEP. RIAU,218000.000000,1999
DKI JAKARTA,231000.000000,1999
